CODI,Castellà,Català,Tipus de contracte
33157400-9,Respiradores para uso médico,Respiradors d'ús mèdic,Subministraments
33157500-0,Cámaras hiperbáricas,Cambres hiperbàriques,Subministraments
33157700-2,Botella lavagases,Borbollador d'oxigenoteràpia,Subministraments
33157800-3,Unidad de administración de oxígeno,Unitat d'administració d'oxigen,Subministraments
33157810-6,Unidad de oxigenoterapia,Unitat d'oxigenoteràpia,Subministraments
33158000-2,"Terapia eléctrica, electromagnética y mecánica","Teràpia elèctrica, electromagnètica i mecànica",Subministraments
33158100-3,Unidad electromagnética,Unitat electromagnètica,Subministraments
33158200-4,Aparatos para electroterapia,Aparells per a l'electroteràpia,Subministraments
33158210-7,Estimulador,Estimulador,Subministraments
33158300-5,Aparatos de rayos ultravioletas para uso médico,Aparells de rajos ultraviolats d'ús mèdic,Subministraments
33158400-6,Unidad de terapia mecánica,Unitat de teràpia mecànica,Subministraments
33158500-7,Aparatos de rayos infrarrojos para uso médico,Aparells de rajos infrarojos d'ús mèdic,Subministraments
33159000-9,Sistema de química clínica,Sistema de química clínica,Subministraments
33160000-9,Técnicas operatorias,Tècniques operatòries,Subministraments
33161000-6,Unidad de electrocirugía,Unitat d'electrocirurgia,Subministraments
33162000-3,Instrumentos y aparatos de quirófano,Instruments i aparells de quiròfan,Subministraments
33162100-4,Aparatos para quirófano,Aparells de quiròfan,Subministraments
33162200-5,Instrumentos de quirófano,Instruments de quiròfan,Subministraments
33163000-0,Tienda para uso médico,Tenda d'ús mèdic,Subministraments
33164000-7,Aparatos de celioscopia,Aparells de celioscòpia,Subministraments
33164100-8,Colposcopio,Colposcopi,Subministraments
33165000-4,Aparatos de criocirugía y crioterapia,Aparells de criocirurgia i crioteràpia,Subministraments
33166000-1,Aparatos de dermatología,Aparells de dermatologia,Subministraments
33167000-8,Luces para quirófanos,Llums de quiròfan,Subministraments
33168000-5,Aparatos de endoscopia y endocirugía,Aparells d'endoscòpia i endocirurgia,Subministraments
33168100-6,Endoscopios,Endoscopis,Subministraments
33169000-2,Instrumentos quirúrgicos,Instruments quirúrgics,Subministraments
33169100-3,Láser quirúrgico,Làser quirúrgic,Subministraments
33169200-4,Cestas para uso quirúrgico,Cistelles d'ús quirúrgic,Subministraments
33169300-5,Carro para material quirúrgico,Safates d'ús quirúrgic,Subministraments
33169400-6,Contenedores quirúrgicos,Contenidors quirúrgics,Subministraments
33169500-7,Sistemas de localización y seguimiento quirúrgicos,Sistemes de seguiment i traçabilitat quirúrgics,Subministraments
33170000-2,Anestesia y reanimación,Anestèsia i reanimació,Subministraments
33171000-9,Instrumentos de anestesia y reanimación,Instruments d'anestèsia i reanimació,Subministraments
33171100-0,Instrumentos para anestesia,Instruments d'anestèsia,Subministraments
33171110-3,Máscara para anestesia,Màscara d'anestèsia,Subministraments
33171200-1,Instrumentos de reanimación,Instruments de reanimació,Subministraments
33171210-4,Máscara para reanimación,Màscara de reanimació,Subministraments
33171300-2,Bolsas o kits para inyección epidural,Bosses o equips d'epidural,Subministraments
33172000-6,Aparatos para anestesia y reanimación,Aparells d'anestèsia i reanimació,Subministraments
33172100-7,Aparatos para anestesia,Aparells d'anestèsia,Subministraments
33172200-8,Aparatos para reanimación,Aparells de reanimació,Subministraments
33180000-5,Asistencia funcional,Assistència funcional,Subministraments
33181000-2,Dispositivos para hemodiálisis,Dispositius de suport renal,Subministraments
33181100-3,Aparatos de hemodiálisis,Aparells d'hemodiàlisi,Subministraments
33181200-4,Filtros para diálisis,Filtres de diàlisi,Subministraments
33181300-5,Monitor individual para hemodiálisis,Monitor individual d'hemodiàlisi,Subministraments
33181400-6,Unidad de diálisis,Multiunitat d'hemodiàlisi,Subministraments
33181500-7,Productos consumibles para uso renal,Productes consumibles d'ús renal,Subministraments
33181510-0,Fluido renal,Fluid renal,Subministraments
33181520-3,Productos consumibles para diálisis renal,Productes consumibles de diàlisi renal,Subministraments
33182000-9,Aparatos de ayuda cardíaca,Aparells de suport cardíac,Subministraments
33182100-0,Desfibrilador,Desfibril·lador,Subministraments
33182200-1,Aparatos de estimulación cardíaca,Aparells d'estimulació cardíaca,Subministraments
33182210-4,Marcapasos,Marcapassos,Subministraments
33182220-7,Válvulas cardíacas,Vàlvules cardíaques,Subministraments
33182230-0,Ventrículo,Ventricle,Subministraments
33182240-3,Partes y accesorios de marcapasos,Peces i accessoris de marcapassos,Subministraments
33182241-0,Pilas para marcapasos,Piles de marcapassos,Subministraments
33182300-2,Aparatos de cirugía cardíaca,Aparells de cirurgia cardíaca,Subministraments
33182400-3,Radiología cardíaca,Radiologia cardíaca,Subministraments
33183000-6,Aparatos de ayuda ortopédica,Aparells de suport ortopèdic,Subministraments
33183100-7,Implantes ortopédicos,Implants ortopèdics,Subministraments
33183200-8,Prótesis ortopédicas,Pròtesis ortopèdiques,Subministraments
33183300-9,Aparatos para osteosíntesis,Aparells d'osteosíntesi,Subministraments
33184000-3,Artículos y aparatos de prótesis,Pròtesis,Subministraments
33184100-4,Implantes quirúrgicos,Implants quirúrgics,Subministraments
33184200-5,Prótesis vasculares,Pròtesis vasculars,Subministraments
33184300-6,Prótesis cardíacas,Pròtesis cardíaques,Subministraments
33184400-7,Prótesis mamarias,Pròtesis mamàries,Subministraments
33184410-0,Prótesis mamarias internas,Pròtesis mamàries internes,Subministraments
33184420-3,Prótesis mamarias externas,Pròtesis mamàries externes,Subministraments
33184500-8,Endoprótesis coronarias,Endopròtesis coronàries,Subministraments
33184600-9,Ojos artificiales,Ulls artificials,Subministraments
33185000-0,Audífonos,Audiòfons,Subministraments
33185100-1,Partes y accesorios de audífonos,Peces i accessoris d'audiòfons,Subministraments
33185200-2,Implante coclear,Implant coclear,Subministraments
33185300-3,Implante otorrinolaringológico,Implant otorrinolaringològic,Subministraments
33185400-4,Laringe artificial,Laringe artificial,Subministraments
33186000-7,Unidad de circulación extracorpórea,Unitat de circulació extracorpòria,Subministraments
33186100-8,Oxigenador,Oxigenador,Subministraments
33186200-9,Calentadores de sangre y fluidos,Escalfadors de sang i fluids,Subministraments
33190000-8,Instrumentos y aparatos médicos diversos,Instruments i aparells mèdics diversos,Subministraments
33191000-5,"Aparatos para esterilización, desinfección e higiene","Aparells d'esterilització, desinfecció i higiene",Subministraments
33191100-6,Esterilizador,Esterilitzador,Subministraments
33191110-9,Autoclaves,Autoclaus,Subministraments
33192000-2,Mobiliario para uso médico,Mobiliari d'ús mèdic,Subministraments
33192100-3,Camas para uso médico,Llits d'ús mèdic,Subministraments
33192110-6,Camas ortopédicas,Llits ortopèdics,Subministraments
33192120-9,Camas de hospital,Llits d'hospital,Subministraments
33192130-2,Camas provistas de motor,Llits proveïts de motor,Subministraments
33192140-5,Divanes para sesiones psiquiátricas,Divans d'examen psiquiàtric,Subministraments
33192150-8,Camas terapéuticas,Llits terapèutics,Subministraments
33192160-1,Camillas,Lliteres,Subministraments
33192200-4,Mesas para uso médico,Taules d'ús mèdic,Subministraments
33192210-7,Mesas de reconocimiento médico,Taules de reconeixement mèdic,Subministraments
33192230-3,Mesas de operaciones,Taules d'operacions,Subministraments
33192300-5,"Mobiliario para uso médico, excepto camas y mesas","Mobiliari d'ús mèdic, excepte llits i taules",Subministraments
33192310-8,Dispositivos de tracción o suspensión para camas de uso médico,Dispositius de tracció o suspensió de llits d'ús mèdic,Subministraments
33192320-1,Soportes para recipientes de recogida de orina,Suports de recipients de recollida d'orina,Subministraments
33192330-4,Lugares donde se realizan las transfusiones,Suport de degotador,Subministraments
33192340-7,"Mobiliario de quirófano, excepto mesas","Mobiliari de quiròfan, excepte taules",Subministraments
33192350-0,Locales destinados a cultivos con fines médicos,Mobiliari de cultius amb finalitats mèdiques,Subministraments
33192400-6,Unidades odontológicas,Unitats odontològiques,Subministraments
33192410-9,Sillones de dentista,Butaques de dentista,Subministraments
33192500-7,Tubos de ensayo,Tubs d'assaig,Subministraments
33192600-8,Equipos elevadores para los servicios de atención sanitaria,Equips elevadors de serveis d'atenció sanitària,Subministraments
33193000-9,Sillas de ruedas y demás vehículos para inválidos y material asociado,"Vehicles per a discapacitats, cadires de rodes i material associat",Subministraments
33193100-0,Sillas de ruedas y demás vehículos para inválidos,Vehicles per a discapacitats i cadires de rodes,Subministraments
33193110-3,Vehículos para inválidos,Vehicles per a discapacitats,Subministraments
33193120-6,Sillas de ruedas,Cadires de rodes,Subministraments
33193121-3,Sillas de ruedas con motor,Cadires de rodes amb motor,Subministraments
33193200-1,Partes y accesorios de sillas de ruedas y demás vehículos para inválidos,Peces i accessoris de vehicles per a discapacitats i cadires de rodes,Subministraments
33193210-4,Partes y accesorios de vehículos para inválidos,Peces i accessoris de vehicles per a discapacitats,Subministraments
33193211-1,Motores de vehículos para inválidos,Motors de vehicles per a discapacitats,Subministraments
33193212-8,Dispositivos de dirección de vehículos para inválidos,Dispositius de direcció de vehicles per a discapacitats,Subministraments
33193213-5,Dispositivos de mando de vehículos para inválidos,Dispositius de comandament de vehicles per a discapacitats,Subministraments
33193214-2,Chasis de vehículos para inválidos,Xassís de vehicles per a discapacitats,Subministraments
33193220-7,Partes y accesorios de sillas de ruedas,Peces i accessoris de cadires de rodes,Subministraments
33193221-4,Almohadillas para sillas de ruedas,Coixins de cadires de rodes,Subministraments
33193222-1,Armazones para sillas de ruedas,Carcasses de cadires de rodes,Subministraments
33193223-8,Asientos para sillas de ruedas,Seients de cadires de rodes,Subministraments
33193224-5,Instrumentos y aparatos de transfusión e infusión,Rodes de cadires de rodes,Subministraments
33193225-2,Instrumentos y aparatos para infusión,Pneumàtics de cadires de rodes,Subministraments
33194000-6,Instrumentos y aparatos de transfusión y perfusión,Instruments i aparells de transfusió i perfusió,Subministraments
33194100-7,Instrumentos y aparatos para perfusión,Instruments i aparells de perfusió,Subministraments
33194110-0,Bombas de infusión,Bombes d'infusió,Subministraments
33194120-3,Artículos para perfusión,Articles d'infusió,Subministraments
33194200-8,Instrumentos y aparatos para transfusión,Instruments i aparells de transfusió,Subministraments
33194210-1,Instrumentos y aparatos para transfusión sanguínea,Aparells de transfusió sanguínia,Subministraments
33194220-4,Material para transfusión sanguínea,Material de transfusió sanguínia,Subministraments
33195000-3,Sistema de monitorización de los pacientes,Sistema de monitoratge dels pacients,Subministraments
33195100-4,Monitores,Monitors,Subministraments
33195110-7,Monitores de respiración,Monitors de respiració,Subministraments
33195200-5,Puesto central de control,Estació central de monitoratge,Subministraments
33196000-0,Ayudas médicas,Assistència mèdica,Subministraments
33196100-1,Aparatos para las personas de avanzada edad,Aparells per a les persones grans,Subministraments
33196200-2,Aparatos para minusválidos,Aparells per a minusvàlids,Subministraments
33197000-7,Equipo informático para uso médico,Equip informàtic d'ús mèdic,Subministraments
33198000-4,Artículos de papel para hospital,Articles de paper d'ús hospitalari,Subministraments
33198100-5,Compresas de papel,Compreses de paper,Subministraments
33198200-6,Bolsas o envoltorios de papel para esterilización,Bosses o embolcalls de paper per esterilitzar,Subministraments
33199000-1,Vestuario médico,Indumentària per a personal mèdic,Subministraments
33600000-6,Productos farmacéuticos,Productes farmacèutics,Subministraments
33610000-9,Medicamentos para el aparato digestivo y el metabolismo,Medicaments de l'aparell digestiu i el metabolisme,Subministraments
33611000-6,Medicamentos contra los trastornos producidos por la hiperacidez,Medicaments contra els trastorns produïts per la hiperacidesa,Subministraments
33612000-3,Medicamentos contra los trastornos gastrointestinales funcionales,Medicaments contra trastorns gastrointestinals funcionals,Subministraments
33613000-0,Laxantes,Laxants,Subministraments
33614000-7,"Antidiarreicos, antiinflamatorios y antiinfecciosos intestinales","Antidiarreics, antiinflamatoris intestinals i antiinfecciosos intestinals",Subministraments
33615000-4,Antidiabéticos,Medicaments de la diabetis,Subministraments
33615100-5,Insulina,Insulina,Subministraments
33616000-1,Vitaminas,Vitamines,Subministraments
33616100-2,Provitaminas,Provitamines,Subministraments
33617000-8,Suplementos minerales,Suplements minerals,Subministraments
33620000-2,"Medicamentos para la sangre, para los órganos hematopoyéticos y para el aparato cardiovascular","Medicaments de la sang, dels òrgans hematopoètics i de l'aparell cardiovascular",Subministraments
33621000-9,Medicamentos para la sangre y para los órganos hematopoyéticos,Medicaments de la sang i dels òrgans hematopoètics,Subministraments
33621100-0,Antitrombóticos,Antitrombòtics,Subministraments
33621200-1,Antihemorrágicos,Antihemorràgics,Subministraments
33621300-2,Antianémicos,Antianèmics,Subministraments
33621400-3,Sustitutos del plasma y soluciones para infusión,Substituts del plasma i solucions per a la perfusió,Subministraments
33622000-6,Medicamentos para el aparato cardiovascular,Medicaments de l'aparell cardiovascular,Subministraments
33622100-7,Medicamentos usados en cardioterapia,Medicaments usats en cardioteràpia,Subministraments
33622200-8,Hipotensores,Antihipertensius,Subministraments
33622300-9,Diuréticos,Diürètics,Subministraments
33622400-0,Vasoprotectores,Vasoprotectors,Subministraments
33622500-1,Antihemorroidales de uso tópico,Antihemorroidals d'ús tòpic,Subministraments
33622600-2,Betabloqueadores,Betablocadors,Subministraments
33622700-3,Bloqueadores de los canales de calcio,Blocadors dels canals de calci,Subministraments
33622800-4,Medicamentos que actúan sobre el sistema renina-angiotensina,Medicaments que actuen sobre el sistema renina-angiotensina,Subministraments
33630000-5,Medicamentos usados en dermatología y para el sistema muscular-esquelético,Medicaments usats en dermatologia i per al sistema musculoesquelètic,Subministraments
33631000-2,Medicamentos usados en dermatología,Medicaments usats en dermatologia,Subministraments
33631100-3,Antifúngicos usados en dermatología,Antifúngics d'ús dermatològic,Subministraments
33631110-6,Ácidos salicílicos,Àcids salicílics,Subministraments
33631200-4,Emolientes y protectores,Emol·lients i protectors,Subministraments
33631300-5,Antipsoriásicos,Antipsoriàsics,Subministraments
33631400-6,Antibióticos y quimioterápicos para uso en dermatología,Antibiòtics i quimioteràpics d'ús dermatològic,Subministraments
33631500-7,Corticosteroides usados en dermatología y en preparados dermatológicos,Corticoesteroides usats en dermatologia i en preparats dermatològics,Subministraments
33631600-8,Antisépticos y desinfectantes,Antisèptics i desinfectants,Subministraments
33631700-9,Preparados antiacné,Preparats antiacne,Subministraments
33632000-9,Medicamentos para el sistema muscular-esquelético,Medicaments del sistema musculoesquelètic,Subministraments
33632100-0,Antiinflamatorios y antirreumáticos,Antiinflamatoris i antireumàtics,Subministraments
33632200-1,Miorrelajantes,Miorelaxants,Subministraments
33632300-2,Antigotosos,Antigotosos,Subministraments
33640000-8,Medicamentos para el sistema genitourinario y hormonas,Medicaments per al sistema genitourinari i hormones,Subministraments
33641000-5,Medicamentos para el sistema genitourinario y hormonas sexuales,Medicaments per al sistema genitourinari i hormones sexuals,Subministraments
33641100-6,Antiinfecciosos y antisépticos ginecológicos,Antiinfecciosos i antisèptics ginecològics,Subministraments
33641200-7,Otros medicamentos ginecológicos,Altres medicaments ginecològics,Subministraments
33641300-8,Hormonas sexuales y moduladores genitales,Hormones sexuals i moduladors genitals,Subministraments
33641400-9,Anticonceptivos,Anticonceptius,Subministraments
33641410-2,Anticonceptivos orales,Anticonceptius orals,Subministraments
33641420-5,Anticonceptivos químicos,Anticonceptius químics,Subministraments
33642000-2,"Preparados hormonales sistémicos, excluidas las hormonas sexuales","Preparats hormonals sistèmics, excloses les hormones sexuals",Subministraments
33642100-3,"Hormonas hiposifiarias, hipotalámicas y análogas","Hormones hipofisàries, hipotalàmiques i anàlogues",Subministraments
33642200-4,Corticoesteroides para uso sistémico,Corticoesteroides d'ús sistèmic,Subministraments
33642300-5,Terapia tiroidea,Terapèutica tiroidal,Subministraments
33650000-1,"Antiinfecciosos generales para uso sistémico, vacunas, antineoplásicos e inmunomoduladores","Antiinfecciosos generals d'ús sistèmic, vacunes, antineoplàstics i immunomoduladors",Subministraments
33651000-8,"Antiinfecciosos generales para uso sistémico, vacunas",Antiinfecciosos generals d'ús sistèmic i vacunes,Subministraments
33651100-9,Antibacterianos para uso sistémico,Antibacterians d'ús sistèmic,Subministraments
33651200-0,Antimicóticos para uso sistémico,Antimicòtics d'ús sistèmic,Subministraments
33651300-1,Antimicobacterianos,Antimicobacterians,Subministraments
33651400-2,Antivirales para uso sistémico,Antivirals d'ús sistèmic,Subministraments
33651500-3,Inmunosueros e inmunoglobulinas,Immunosèrums i immunoglobulines,Subministraments
33651510-6,Antisueros,Antisèrums,Subministraments
33651520-9,Inmunoglobulinas,Immunoglobulines,Subministraments
33651600-4,Vacunas,Vacunes,Subministraments
33651610-7,"Vacunas contra la difteria, el tétanos y la tos ferina","Vacunes contra la diftèria, el tètanus i la tos ferina",Subministraments
33651620-0,Vacunas contra la difteria y el tétanos,Vacunes contra la diftèria i el tètanus,Subministraments
33651630-3,Vacunas BCG (liofilizadas),Vacunes BCG (liofilitzades),Subministraments
33651640-6,"Vacunas ""triple vírica"" (sarampión, paperas, rubeola)","Vacunes contra el xarampió, la parotiditis i la rubèola (triple vírica)",Subministraments
33651650-9,Vacunas contra el tifus,Vacunes contra el tifus,Subministraments
33651660-2,Vacunas contra la gripe,Vacunes contra la grip,Subministraments
33651670-5,Vacunas contra la polio,Vacunes contra la pòlio,Subministraments
33651680-8,Vacunas contra la hepatitis B,Vacunes contra l'hepatitis B,Subministraments
33651690-1,Vacunas para la medicina veterinaria,Vacunes de medicina veterinària,Subministraments
33652000-5,Agentes antineoplásicos e inmunomoduladores,Antineoplàstics i immunomoduladors,Subministraments
33652100-6,Agentes antineoplásicos,Antineoplàstics,Subministraments
33652200-7,Medicamentos usados en la terapia endocrina,Terapèutica endocrina,Subministraments
33652300-8,Inmunosupresores,Immunosupressors,Subministraments
33660000-4,Medicamentos para el sistema nervioso y los órganos de los sentidos,Medicaments del sistema nerviós i els òrgans dels sentits,Subministraments
33661000-1,Medicamentos para el sistema nervioso,Medicaments del sistema nerviós,Subministraments
33661100-2,Anestésicos,Anestèsics,Subministraments
33661200-3,Analgésicos,Analgèsics,Subministraments
33661300-4,Antiepilépticos,Antiepilèptics,Subministraments
33661400-5,Antiparkinsonianos,Antiparkinsonians,Subministraments
33661500-6,Psicolépticos,Psicolèptics,Subministraments
33661600-7,Psicoanalépticos,Psicoanalèptics,Subministraments
33661700-8,Otros medicamentos del sistema nervioso,Altres medicaments del sistema nerviós,Subministraments
33662000-8,Medicamentos para los órganos de los sentidos,Medicaments per als òrgans dels sentits,Subministraments
33662100-9,Medicamentos usados en oftalmología,Medicaments oftalmològics,Subministraments
33670000-7,Medicamentos para el aparato respiratorio,Medicaments de l'aparell respiratori,Subministraments
33673000-8,Medicamentos para enfermedades obstructivas de las vías respiratorias,Medicaments contra malalties obstructives de les vies respiratòries,Subministraments
33674000-5,Medicamentos para la tos y el resfriado,Medicaments contra la tos i el refredat,Subministraments
33675000-2,Antihistamínicos para empleo sistémico,Antihistamínics d'ús sistèmic,Subministraments
33680000-0,Artículos farmacéuticos,Articles farmacèutics,Subministraments
33681000-7,"Tetinas, chupetes y artículos similares para bebés","Tetines, mugroneres i articles similars per a nadons",Subministraments
33682000-4,Baldosas de caucho,Rajoles de cautxú,Subministraments
33683000-1,Amortiguadores de caucho,Amortidors de cautxú,Subministraments
33690000-3,Medicamentos diversos,Productes mèdics diversos,Subministraments
33691000-0,"Productos antiparasitarios, insecticidas y repelentes","Productes antiparasitaris, insecticides i repel·lents",Subministraments
33691100-1,Antiprotozoarios,Antiprotozoaris,Subministraments
33691200-2,Antihelmínticos,Antihelmíntics,Subministraments
33691300-3,"Ectoparasiticidas, incluidos los escabicidas, insecticidas y repelentes","Ectoparasiticides, inclosos escabicides, insecticides i repel·lents",Subministraments
33692000-7,Soluciones medicinales,Solucions medicinals,Subministraments
33692100-8,Soluciones para infusiones,Solucions per a infusions,Subministraments
33692200-9,Productos de nutrición parenteral,Productes de nutrició parenteral,Subministraments
33692210-2,Soluciones de nutrición parenteral,Solucions de nutrició parenteral,Subministraments
33692300-0,Productos de nutrición enteral,Productes de nutrició enteral,Subministraments
33692400-1,Soluciones para perfusiones,Solucions per a perfusions,Subministraments
33692500-2,Soluciones inyectables,Solucions injectables,Subministraments
33692510-5,Fluidos intravenosos,Fluids intravenosos,Subministraments
33692600-3,Soluciones galénicas,Solucions galèniques,Subministraments
33692700-4,Soluciones de glucosa,Solucions de glucosa,Subministraments
33692800-5,Soluciones para diálisis,Solucions de diàlisi,Subministraments
33693000-4,Todos los demás productos terapéuticos,Altres productes terapèutics,Subministraments
33693100-5,Toxinas,Toxines,Subministraments
33693200-6,Sustitutos de la nicotina,Substituts de la nicotina,Subministraments
33693300-7,Tratamientos contra la adicción,Tractaments contra l'addicció,Subministraments
33694000-1,Medios de diagnóstico,Mitjans de diagnòstic,Subministraments
33695000-8,Todo los demás productos no terapéuticos,Tots els altres productes no terapèutics,Subministraments
33696000-5,Reactivos y medios de contraste,Reactius i mitjans de contrast,Subministraments
33696100-6,Reactivos para determinación del grupo sanguíneo,Reactius de determinació del grup sanguini,Subministraments
33696200-7,Reactivos para análisis de sangre,Reactius d'anàlisi de sang,Subministraments
33696300-8,Reactivos químicos,Reactius químics,Subministraments
33696400-9,Reactivos isotópicos,Reactius isotòpics,Subministraments
33696500-0,Reactivos de laboratorio,Reactius de laboratori,Subministraments
33696600-1,Reactivos para electroforesis,Reactius d'electroforesi,Subministraments
33696700-2,Reactivos urológicos,Reactius urològics,Subministraments
33696800-3,Medios de contraste para radiología,Mitjans de contrast d'ús radiològic,Subministraments
33697000-2,"Preparaciones médicas, excepto productos consumibles para uso odontológico","Preparacions mèdiques, excepte productes consumibles d'ús odontològic",Subministraments
33697100-3,Preparaciones para enemas,Preparacions d'ènemes,Subministraments
33697110-6,Cementos para la reconstrucción de huesos,Ciments de reconstrucció d'ossos,Subministraments
33698000-9,Productos clínicos,Productes clínics,Subministraments
33698100-0,Cultivos microbiológicos,Cultius microbiològics,Subministraments
33698200-1,Glándulas y sus extractos,Glàndules i els seus extractes,Subministraments
33698300-2,Sustancias pépticas,Substàncies pèptiques,Subministraments
33700000-7,Productos para la higiene personal,Productes d'higiene personal,Subministraments
33710000-0,"Perfumes, artículos de tocador y preservativos","Perfums, articles de tocador i preservatius",Subministraments
33711000-7,Perfumes y productos de tocador,Perfums i articles de tocador,Subministraments
33711100-8,Aguas de Colonia,Aigües de Colònia,Subministraments
33711110-1,Desodorantes,Desodorants,Subministraments
33711120-4,Antitranspirantes,Antitranspirants,Subministraments
33711130-7,Colonias,Colònies,Subministraments
33711140-0,Fragancias,Fragàncies,Subministraments
33711150-3,Agua de rosas,Aigua de roses,Subministraments
33711200-9,Preparaciones para maquillaje,Productes de maquillatge,Subministraments
33711300-0,Productos para manicura o pedicura,Productes de manicura o pedicura,Subministraments
33711400-1,Productos de belleza,Productes de bellesa,Subministraments
33711410-4,Bastoncillos de algodón,Bastonets de cotó,Subministraments
33711420-7,Estuches de maquillaje,Estoigs de maquillatge,Subministraments
33711430-0,Toallitas higiénicas desechables,Tovalloletes higièniques d'un sol ús,Subministraments
33711440-3,Bálsamo labial,Bàlsam labial,Subministraments
33711450-6,Tatuajes,Tatuatges,Subministraments
33711500-2,Productos para el cuidado de la piel,Productes de cura de la pell,Subministraments
33711510-5,Productos de protección solar,Productes de protecció solar,Subministraments
33711520-8,Geles de baño,Gels de bany,Subministraments
33711530-1,Gorros de ducha,Gorres de dutxa,Subministraments
33711540-4,Cremas o lociones de parafarmacia,Cremes o locions de parafarmàcia,Subministraments
33711600-3,Preparaciones y artículos para el cabello,Preparacions i articles per als cabells,Subministraments
33711610-6,Champús,Xampús,Subministraments
33711620-9,Peines,Pintes,Subministraments
33711630-2,Pelucas,Perruques,Subministraments
33711640-5,Estuchitos de tocador,Estoigs amb productes de tocador,Subministraments
33711700-4,Artículos y preparados para la higiene bucal o dental,Articles i preparats d'higiene bucal o dental,Subministraments
33711710-7,Cepillos de dientes,Raspalls de dents,Subministraments
33711720-0,Pasta de dientes,Pasta de dents,Subministraments
33711730-3,Mondadientes,Escuradents,Subministraments
33711740-6,Baños bucales,Col·lutoris,Subministraments
33711750-9,Enjuagues y otros productos refrescantes bucales,Productes per refrescar la boca,Subministraments
33711760-2,Hilo dental,Fil dental,Subministraments
33711770-5,"Mordedores, anillos de dentición y chupetes para bebés","Mossegadors, anells de dentició i xumets de nadons",Subministraments
33711780-8,Tabletas para limpieza de dentaduras postizas,Comprimits de neteja de dentadures postisses,Subministraments
33711790-1,Estuche de higiene dental,Estoigs d'higiene dental,Subministraments
33711800-5,Preparados para el afeitado,Preparats d'afaitar,Subministraments
33711810-8,Cremas de afeitar,Cremes d'afaitar,Subministraments
33711900-6,Jabón,Sabó,Subministraments
33712000-4,Preservativos,Preservatius,Subministraments
33713000-1,Productos para el cuidado de los pies,Productes de cura dels peus,Subministraments
33720000-3,Cuchillas y estuches de manicura o pedicura,Fulles i estoigs de manicura o pedicura,Subministraments
33721000-0,Navajas,Fulles d'afaitar,Subministraments
33721100-1,Hojas de afeitar,Fulles d'afaitar,Subministraments
33721200-2,Máquinas de afeitar,Màquines d'afaitar,Subministraments
33722000-7,Juegos para manicura o pedicura,Estoigs de manicura o pedicura,Subministraments
33722100-8,Estuches de manicura,Estoigs de manicura,Subministraments
33722110-1,Instrumental de manicura,Instruments de manicura,Subministraments
33722200-9,Estuches de pedicura,Estoigs de pedicura,Subministraments
33722210-2,Instrumental de pedicura,Instruments de pedicura,Subministraments
33722300-0,Coleteros,Passador,Subministraments
33730000-6,Productos para el cuidado de los ojos y lentes correctoras,Productes de cura dels ulls i lents correctores,Subministraments
33731000-3,Lentes de contacto,Lents de contacte,Subministraments
33731100-4,Lentes correctoras,Lents correctores,Subministraments
33731110-7,Lentes intraoculares,Lents intraoculars,Subministraments
33731120-0,Lentes para gafas,Lents d'ulleres,Subministraments
33732000-0,Soluciones para lentes de contacto,Solucions de lents de contacte,Subministraments
33733000-7,Gafas de sol,Ulleres de sol,Subministraments
33734000-4,Gafas,Ulleres,Subministraments
33734100-5,Monturas de gafas,Muntures d'ulleres,Subministraments
33734200-6,Cristal para lentes de gafas,Vidre d'ulleres,Subministraments
33735000-1,Anteojos de protección,Ulleres de pantalla,Subministraments
33735100-2,Gafas protectoras,Ulleres de protecció,Subministraments
33735200-3,Monturas de gafas protectoras,Muntures d'ulleres de pantalla,Subministraments
33740000-9,Productos para el cuidado de manos y uñas,Productes de cura de les mans i les ungles,Subministraments
33741000-6,Productos para el cuidado de las manos,Productes de cura de les mans,Subministraments
33741100-7,Jabón de manos,Productes de netejar les mans,Subministraments
33741200-8,Lociones de manos o corporal,Locions de mans o locions corporals,Subministraments
33741300-9,Antiséptico para manos,Desinfectant de mans,Subministraments
33742000-3,Productos para el cuidado de las uñas,Productes de cura de les ungles,Subministraments
33742100-4,Cortaúñas,Tallaungles,Subministraments
33742200-5,Esmalte de uñas,Esmalt d'ungles,Subministraments
33750000-2,Productos para el cuidado del bebé,Productes de cura del nadó,Subministraments
33751000-9,Pañales desechables,Bolquers d'un sol ús,Subministraments
33752000-6,Protectores de lactancia,Discos de lactància,Subministraments
33760000-5,"Papel higiénico, pañuelos, toallas y servilletas","Paper higiènic, mocadors, tovalloles i tovallons",Subministraments
33761000-2,Papel higiénico,Paper higiènic,Subministraments
33762000-9,Pañuelos de papel,Mocadors de paper,Subministraments
33763000-6,Toallas de papel,Tovalloles de paper,Subministraments
33764000-3,Servilletas de papel,Tovallons de paper,Subministraments
33770000-8,Artículos de papel para uso sanitario e higiénico,Articles de paper d'ús sanitari,Subministraments
33771000-5,Productos de papel para uso sanitario,Productes de paper d'ús sanitari,Subministraments
33771100-6,Compresas higiénicas o tampones,Compreses higièniques o tampons,Subministraments
33771200-7,Forros de pañales de papel,Folres de bolquers de paper,Subministraments
33772000-2,Productos desechables de papel,Productes de paper d'un sol ús,Subministraments
33790000-4,"Artículos de vidrio para laboratorio, higiene o farmacia","Articles de vidre de laboratori, higiene o farmàcia",Subministraments
